englishURN,collection,volumeNumber,bookNumber,bookName,babNumber,babName,hadithNumber,hadithText,bookID,grade1,grade2,comments,ourHadithNumber,matchingArabicURN,last_updated
1150,bukhari,1,3,Knowledge,,,114,"<p>
Narrated 'Ubaidullah bin `Abdullah:

<p>Ibn `Abbas said, ""When the ailment of the Prophet became worse, he said, 'Bring for me (writing) 
paper and I will write for you a statement after which you will not go astray.' But `Umar said, 'The 
Prophet is seriously ill, and we have got Allah's Book with us and that is sufficient for us.' But the 
companions of the Prophet differed about this and there was a hue and cry. On that the Prophet said to 
them, 'Go away (and leave me alone). It is not right that you should quarrel in front of me."" Ibn 
`Abbas came out saying, ""It was most unfortunate (a great disaster) that Allah's Apostle was prevented 
from writing that statement for them because of their disagreement and noise. (Note: It is apparent 
from this Hadith that Ibn `Abbas had witnessed the event and came out saying this statement. The 
truth is not so, for Ibn `Abbas used to say this statement on narrating the Hadith and he had not 
witnessed the event personally. See Fath Al-Bari Vol. 1, p.220 footnote.) (See Hadith No. 228, Vol. 
4).",3.0,,,,56,101140,2012-04-26 07:00:00
1160,bukhari,1,3,Knowledge,,,115,"<p>
Narrated Um Salama:

<p>One night Allah's Apostle got up and said, ""Subhan Allah! How many afflictions have been descended 
tonight and how many treasures have been disclosed! Go and wake the sleeping lady occupants of 
these dwellings (his wives) up (for prayers). A well-dressed (soul) in this world may be naked in the 
Hereafter. """,3.0,,,,57,101150,2012-04-26 07:00:00
1170,bukhari,1,3,Knowledge,,,116,"<p>
Narrated `Abdullah bin `Umar:

<p>Once the Prophet led us in the `Isha' prayer during the last days of his life and after finishing it (the 
prayer) (with Taslim) he said: ""Do you realize (the importance of) this night?"" Nobody present on the 
surface of the earth tonight will be living after the completion of one hundred years from this night.""",3.0,,,,58,101160,2012-04-26 07:00:00
1180,bukhari,1,3,Knowledge,,,117,"<p>
Narrated Ibn `Abbas:

<p>I stayed overnight in the house of my aunt Maimuna bint Al-Harith (the wife of the Prophet ) while 
the Prophet was there with her during her night turn. The Prophet offered the `Isha' prayer (in the 
mosque), returned home and after having prayed four rak`at, he slept. Later on he got up at night and 
then asked whether the boy (or he used a similar word) had slept? Then he got up for the prayer and I 
stood up by his left side but he made me stand to his right and offered five rak`at followed by two 
more rak`at. Then he slept and I heard him snoring and then (after a while) he left for the (Fajr) 
prayer.",3.0,,,,59,101170,2012-04-26 07:00:00
1190,bukhari,1,3,Knowledge,,,118,"<p>
Narrated Abu Huraira:

<p>People say that I have narrated many Hadiths (The Prophet's narration). Had it not been for two verses 
in the Qur'an, I would not have narrated a single Hadith, and the verses are: 
""Verily those who conceal the clear sign and the guidance which We have sent down . . . (up to) Most 
Merciful."" (2:159-160). And no doubt our Muhajir (emigrant) brothers used to be busy in the market 
with their business (bargains) and our Ansari brothers used to be busy with their property 
(agriculture). But I (Abu Huraira) used to stick to Allah's Apostle contented with what will fill my 
stomach and I used to attend that which they used not to attend and I used to memorize that which 
they used not to memorize.",3.0,,,,60,101180,2012-04-26 07:00:00
1220,bukhari,1,3,Knowledge,,,121,"<p>
Narrated Abu Huraira:

<p>I have memorized two kinds of knowledge from Allah's Apostle . I have propagated one of them to 
you and if I propagated the second, then my pharynx (throat) would be cut (i.e. killed).",3.0,,,,62,101200,2012-04-26 07:00:00
1230,bukhari,1,3,Knowledge,,,122,"<p>
Narrated Jarir:

<p>The Prophet said to me during Hajjat-al-Wida`: Let the people keep quiet and listen. Then he said 
(addressing the people), ""Do not (become infidels) revert to disbelief after me by striking the necks 
(cutting the throats) of one another (killing each other).",3.0,,,,63,101210,2012-04-26 07:00:00
1260,bukhari,1,3,Knowledge,,,125,"<p>
Narrated Abu Musa:

<p>A man came to the Prophet and asked, ""O Allah's Apostle! What kind of fighting is in Allah's cause? 
(I ask this), for some of us fight because of being enraged and angry and some for the sake of his pride 
and haughtiness."" The Prophet raised his head (as the questioner was standing) and said, ""He who 
fights so that Allah's Word (Islam) should be superior, then he fights in Allah's cause.""",3.0,,,,65,101230,2012-04-26 07:00:00
1270,bukhari,1,3,Knowledge,,,126,"<p>
Narrated `Abdullah bin `Ammar:

<p>I saw the Prophet near the Jamra and the people were asking him questions (about religious 
problems). A man asked, ""O Allah's Apostle! I have slaughtered the Hadi (animal) before doing the 
Rami."" The Prophet replied, ""Do the Rami (now) and there is no harm."" Another person asked, ""O 
Allah's Apostle! I got my head shaved before slaughtering the animal."" The Prophet replied, ""Do the 
slaughtering (now) and there is no harm."" So on that day, when the Prophet was asked about anything 
as regards the ceremonies of Hajj performed before or after its due time his reply was, ""Do it (now) 
and there is no harm.""",3.0,,,,66,101240,2012-04-26 07:00:00
1280,bukhari,1,3,Knowledge,,,127,"<p>
Narrated `Abdullah:

<p>While I was going with the Prophet through the ruins of Medina and he was reclining on a date-palm 
leaf stalk, some Jews passed by. Some of them said to the others: Ask him (the Prophet) about the 
spirit. Some of them said that they should not ask him that question as he might give a reply which 
would displease them. But some of them insisted on asking, and so one of them stood up and asked, 
""O Abul-Qasim ! What is the spirit?"" The Prophet remained quiet. I thought he was being inspired 
Divinely. So I stayed till that state of the Prophet (while being inspired) was over. The Prophet then 
said, ""And they ask you (O Muhammad) concerning the spirit --Say: The spirit -- its knowledge is 
with my Lord. And of knowledge you (mankind) have been given only a little)."" (17.85)",3.0,,,,67,101250,2012-04-26 07:00:00
1290,bukhari,1,3,Knowledge,,,128,"<p>
Narrated Aswad:

<p>Ibn Az-Zubair said to me, ""Aisha used to tell you secretly a number of things. What did she tell you 
about the Ka`ba?"" I replied, ""She told me that once the Prophet said, 'O `Aisha! Had not your people 
been still close to the pre-Islamic period of ignorance (infidelity)! I would have dismantled the Ka`ba 
and would have made two doors in it; one for entrance and the other for exit."" Later on Ibn Az-Zubair 
did the same.",3.0,,,,68,101260,2012-04-26 07:00:00
1300,bukhari,1,3,Knowledge,,,129,"<p>
Narrated Abu at-Tufail:

<p>The above mentioned Statement of `Ali.",3.0,,,,69,101270,2012-04-26 07:00:00
1310,bukhari,1,3,Knowledge,,,130,"<p>
Narrated Anas bin Malik:

<p>""Once Mu`adh was along with Allah's Apostle as a companion rider. Allah's Apostle said, ""O Mu`adh 
bin Jabal."" Mu`adh replied, ""Labbaik and Sa`daik. O Allah's Apostle!"" Again the Prophet said, ""O 
Mu`adh!"" Mu`adh said thrice, ""Labbaik and Sa`daik, O Allah's Apostle!"" Allah's Apostle said, ""There 
is none who testifies sincerely that none has the right to be worshipped but Allah and Muhammad is 
his Apostle, except that Allah, will save him from the Hell-fire."" Mu`adh said, ""O Allah's Apostle ! 
Should I not inform the people about it so that they may have glad tidings?"" He replied, ""When the 
people hear about it, they will solely depend on it."" Then Mu`adh narrated the above-mentioned 
Hadith just before his death, being afraid of committing sin (by not telling the knowledge).",3.0,,,,70,101280,2012-04-26 07:00:00
1320,bukhari,1,3,Knowledge,,,131,"<p>
Narrated Anas:

<p>I was informed that the Prophet had said to Mu`adh, ""Whosoever will meet Allah without associating 
anything in worship with Him will go to Paradise."" Mu`adh asked the Prophet, ""Should I not inform 
the people of this good news?"" The Prophet replied, ""No, I am afraid, lest they should depend upon it 
(absolutely).",3.0,,,,71,101290,2012-04-26 07:00:00
1330,bukhari,1,3,Knowledge,,,132,"<p>
Narrated Um Salama:

<p>Um-Sulaim came to Allah's Apostle and said, ""Verily, Allah is not shy of (telling you) the truth. Is it 
necessary for a woman to take a bath after she has a wet dream (nocturnal sexual discharge?) The 
Prophet replied, ""Yes, if she notices a discharge."" Um Salama, then covered her face and asked, ""O 
Allah's Apostle! Does a woman get a discharge?"" He replied, ""Yes, let your right hand be in dust (An 
Arabic expression you say to a person when you contradict his statement meaning ""you will not 
achieve goodness""), and that is why the son resembles his mother.""",3.0,,,,72,101300,2012-04-26 07:00:00
1340,bukhari,1,3,Knowledge,,,133,"<p>
Narrated `Abdullah bin `Umar:

<p>Once Allah's Apostle said, ""Amongst the trees there is a tree, the leaves of which do not fall and is 
like a Muslim, tell me the name of that tree."" Everybody started thinking about the trees of the desert 
areas and I thought of the date-palm tree but felt shy (to answer). The others asked, ""O Allah's 
Apostle! inform us of it."" He replied, ""it is the date-palm tree."" I told my father what had come to my 
mind and on that he said, ""Had you said it I would have preferred it to such and such a thing that I 
might possess.""",3.0,,,,73,101310,2012-04-26 07:00:00
1350,bukhari,1,3,Knowledge,,,134,"<p>
Narrated `Ali:

<p>I used to get the emotional urethral discharge frequently so I requested Al-Miqdad to ask the Prophet 
about it. Al-Miqdad asked him and he replied, ""One has to perform ablution (after it)."" (See Hadith 
No. 269).",3.0,,,,74,101320,2012-04-26 07:00:00
1360,bukhari,1,3,Knowledge,,,135,"<p>
Narrated Nafi`:

<p>`Abdullah bin `Umar said: ""A man got up in the mosque and said: O Allah's Apostle 'At which place 
you order us that we should assume the Ihram?' Allah's Apostle replied, 'The residents of Medina 
should assure the Ihram from Dhil-Hulaifa, the people of Syria from Al-Juhfa and the people of Najd 
from Qarn."" Ibn `Umar further said, ""The people consider that Allah's Apostle had also said, 'The 
residents of Yemen should assume Ihram from Yalamlam.' "" Ibn `Umar used to say, ""I do not: 
remember whether Allah's Apostle had said the last statement or not?""",3.0,,,,75,101330,2012-04-26 07:00:00
1370,bukhari,1,3,Knowledge,,,136,"<p>
Narrated Ibn `Umar:

<p>A man asked the Prophet : ""What (kinds of clothes) should a Muhrim (a Muslim intending to perform 
`Umra or Hajj) wear? He replied, ""He should not wear a shirt, a turban, trousers, a head cloak or 
garment scented with saffron or Wars (kinds of perfumes). And if he has no slippers, then he can use 
Khuffs (socks made from thick fabric or leather) but the socks should be cut short so as to make the 
ankles bare."" (See Hadith No. 615, Vol. 2).",3.0,,,,76,101340,2012-04-26 07:00:00
1380,bukhari,1,4,Ablutions (Wudu'),,,137,"<p>
Narrated Abu Huraira:

<p>Allah's Apostle said, ""The prayer of a person who does Hadath (passes urine, stool or wind) is not 
accepted till he performs the ablution."" A person from Hadaramout asked Abu Huraira, ""What is 
'Hadath'?"" Abu Huraira replied, "" 'Hadath' means the passing of wind.""",4.0,,,,1,101350,2012-04-26 07:00:00
1390,bukhari,1,4,Ablutions (Wudu'),,,138,"<p>
Narrated Nu`am Al-Mujmir:

<p>Once I went up the roof of the mosque, along with Abu Huraira. He perform ablution and said, ""I 
heard the Prophet saying, ""On the Day of Resurrection, my followers will be called ""Al-Ghurr-ul- 
Muhajjalun"" from the trace of ablution and whoever can increase the area of his radiance should do so 
(i.e. by performing ablution regularly).' """,4.0,,,,2,101360,2012-04-26 07:00:00
1400,bukhari,1,4,Ablutions (Wudu'),,,139,"<p>
Narrated `Abbad bin Tamim:

<p>My uncle asked Allah's Apostle about a person who imagined to have passed wind during the prayer. 
Allah' Apostle replied: ""He should not leave his prayers unless he hears sound or smells something.""",4.0,,,,3,101370,2014-12-08 15:37:56
1410,bukhari,1,4,Ablutions (Wudu'),,,140,"<p>
Narrated Kuraib:

<p>Ibn `Abbas said, ""The Prophet slept till he snored and then prayed (or probably lay till his breath 
sounds were heard and then got up and prayed)."" Ibn `Abbas added: ""I stayed overnight in the house 
of my aunt, Maimuna, the Prophet slept for a part of the night, (See Fath-al-Bari page 249, Vol. 1), 
and late in the night, he got up and performed ablution from a hanging water skin, a light (perfect) 
ablution and stood up for the prayer. I, too, performed a similar ablution, then I went and stood on his 
left. He drew me to his right and prayed as much as Allah wished, and again lay and slept till his 
breath sounds were heard. Later on the Mu'adh-dhin (call maker for the prayer) came to him and 
informed him that it was time for Prayer. The Prophet went with him for the prayer without 
performing a new ablution."" (Sufyan said to `Amr that some people said, ""The eyes of Allah's Apostle 
sleep but his heart does not sleep."" `Amr replied, ""I heard `Ubaid bin `Umar saying that the dreams of 
Prophets were Divine Inspiration, and then he recited the verse: 'I (Abraham) see in a dream, (O my 
son) that I offer you in sacrifice (to Allah)."" (37.102) (See Hadith No. 183)",4.0,,,,4,101380,2012-04-26 07:00:00
1420,bukhari,1,4,Ablutions (Wudu'),,,141,"<p>
Narrated Usama bin Zaid:

<p>Allah's Apostle proceeded from `Arafat till when he reached the mountain pass, he dismounted, 
urinated and then performed ablution but not a perfect one. I said to him, (""Is it the time for) the 
prayer, O Allah's Apostle?"" He said, ""The (place of) prayer is ahead of you."" He rode till when he 
reached Al-Muzdalifa, he dismounted and performed ablution and a perfect one, The (call for) Iqama 
was pronounced and he led the Maghrib prayer. Then everybody made his camel kneel down at its 
place. Then the Iqama was pronounced for the `Isha' prayer which the Prophet led and no prayer was 
offered in between the two . prayers (`Isha' and Maghrib).",4.0,,,,5,101390,2012-04-26 07:00:00
1430,bukhari,1,4,Ablutions (Wudu'),,,142,"<p>
Narrated `Ata' bin Yasar:

<p>Ibn `Abbas performed ablution and washed his face (in the following way): He ladled out a handful of 
water, rinsed his mouth and washed his nose with it by putting in water and then blowing it out. He 
then, took another handful (of water) and did like this (gesturing) joining both hands, and washed his 
face, took another handful of water and washed his right forearm. He again took another handful of 
water and washed his left forearm, and passed wet hands over his head and took another handful of 
water and poured it over his right foot (up to his ankles) and washed it thoroughly and similarly took 
another handful of water and washed thoroughly his left foot (up to the ankles) and said, ""I saw 
Allah's Apostle performing ablution in this way.""",4.0,,,,6,101400,2012-04-26 07:00:00
1440,bukhari,1,4,Ablutions (Wudu'),,,143,"<p>
Narrated Ibn `Abbas:

<p>The Prophet said, ""If anyone of you on having sexual relations with his wife said (and he must say it 
before starting) 'In the name of Allah. O Allah! Protect us from Satan and also protect what you 
bestow upon us (i.e. the coming offspring) from Satan, and if it is destined that they should have a 
child then, Satan will never be able to harm that offspring.""",4.0,,,,7,101410,2012-04-26 07:00:00
1450,bukhari,1,4,Ablutions (Wudu'),,,144,"<p>
Narrated Anas:

<p>Whenever the Prophet went to answer the call of nature, he used to say, ""Allah-umma inni a`udhu 
bika minal khubuthi wal khaba'ith i.e. O Allah, I seek Refuge with You from all offensive and wicked 
things (evil deeds and evil spirits).",4.0,,,,8,101420,2012-04-26 07:00:00
1460,bukhari,1,4,Ablutions (Wudu'),,,145,"<p>
Narrated Ibn `Abbas:

<p>Once the Prophet entered a lavatory and I placed water for his ablution. He asked, ""Who placed it?"" 
He was informed accordingly and so he said, ""O Allah! Make him (Ibn `Abbas) a learned scholar in 
religion (Islam).",4.0,,,,9,101430,2012-04-26 07:00:00
1470,bukhari,1,4,Ablutions (Wudu'),,,146,"<p>
Narrated Abu Aiyub Al-Ansari:

<p>Allah's Apostle said, ""If anyone of you goes to an open space for answering the call of nature he 
should neither face nor turn his back towards the Qibla; he should either face the east or the west.""",4.0,,,,10,101440,2012-04-26 07:00:00
1480,bukhari,1,4,Ablutions (Wudu'),,,147,"<p>
Narrated `Abdullah bin `Umar:

<p>People say, ""Whenever you sit for answering the call of nature, you should not face the Qibla or 
Baitul-Maqdis (Jerusalem)."" I told them. ""Once I went up the roof of our house and I saw Allah's 
Apostle answering the call of nature while sitting on two bricks facing Baitul-Maqdis (Jerusalem) (but 
there was a screen covering him. ' (Fath-al-Bari, Page 258, Vol. 1).",4.0,,,,11,101450,2012-04-26 07:00:00
1490,bukhari,1,4,Ablutions (Wudu'),,,148,"<p>
Narrated `Aisha:

<p>The wives of the Prophet used to go to Al-Manasi, a vast open place (near Baqi` at Medina) to answer 
the call of nature at night. `Umar used to say to the Prophet ""Let your wives be veiled,"" but Allah's 
Apostle did not do so. One night Sauda bint Zam`a the wife of the Prophet went out at `Isha' time and 
she was a tall lady. `Umar addressed her and said, ""I have recognized you, O Sauda."" He said so, as he 
desired eagerly that the verses of Al-Hijab (the observing of veils by the Muslim women) may be 
revealed. So Allah revealed the verses of ""Al-Hijab"" (A complete body cover excluding the eyes).",4.0,,,,12,101460,2012-04-26 07:00:00
1500,bukhari,1,4,Ablutions (Wudu'),,,149,"<p>
Narrated `Aisha:

<p>The Prophet said to his wives, ""You are allowed to go out to answer the call of nature. """,4.0,,,,13,101470,2012-04-26 07:00:00
1510,bukhari,1,4,Ablutions (Wudu'),,,150,"<p>
Narrated `Abdullah bin `Umar:

<p>I went up to the roof of Hafsa's house for some job and I saw Allah's Apostle answering the call of 
nature facing Sham (Syria, Jordan, Palestine and Lebanon regarded as one country) with his back 
towards the Qibla. (See Hadith No. 147).",4.0,,,,14,101480,2012-04-26 07:00:00
1520,bukhari,1,4,Ablutions (Wudu'),,,151,"<p>
Narrated `Abdullah bin `Umar:

<p>Once I went up the roof of our house and saw Allah's Apostle answering the call of nature while 
sitting over two bricks facing Baitul-Maqdis (Jerusalem). (See Hadith No. 147).",4.0,,,,15,101490,2012-04-26 07:00:00
1530,bukhari,1,4,Ablutions (Wudu'),,,152,"<p>
Narrated Anas bin Malik:

<p>Whenever Allah's Apostle went to answer the call of nature, I along with another boy used to 
accompany him with a tumbler full of water. (Hisham commented, ""So that he might wash his private 
parts with it.)""",4.0,,,,16,101500,2012-04-26 07:00:00
1540,bukhari,1,4,Ablutions (Wudu'),,,153,"<p>
Narrated Anas:

<p>Whenever Allah's Apostle went to answer the call of nature, I along with another boy from us used to 
go behind him with a tumbler full of water.",4.0,,,,17,101510,2012-04-26 07:00:00
1550,bukhari,1,4,Ablutions (Wudu'),,,154,"<p>
Narrated Anas bin Malik:

<p>Whenever Allah's Apostle went to answer the call of nature, I along with another boy used to carry a 
tumbler full of water (for cleaning the private parts) and a short spear (or stick).",4.0,,,,18,101520,2012-04-26 07:00:00
1560,bukhari,1,4,Ablutions (Wudu'),,,155,"<p>
Narrated Abu Qatada:

<p>Allah's Apostle said, ""Whenever anyone of you drinks water, he should not breathe in the drinking 
utensil, and whenever anyone of you goes to a lavatory, he should neither touch his penis nor clean his 
private parts with his right hand.""",4.0,,,,19,101530,2012-04-26 07:00:00
1570,bukhari,1,4,Ablutions (Wudu'),,,156,"<p>
Narrated Abu Qatada:

<p>The Prophet said, ""Whenever anyone of you makes water he should not hold his penis or clean his 
private parts with his right hand. (And while drinking) one should not breathe in the drinking utensil .""",4.0,,,,20,101540,2012-04-26 07:00:00
1580,bukhari,1,4,Ablutions (Wudu'),,,157,"<p>
Narrated Abu Huraira:

<p>I followed the Prophet while he was going out to answer the call of nature. He used not to look this 
way or that. So, when I approached near him he said to me, ""Fetch for me some stones for ' cleaning 
the privates parts (or said something similar), and do not bring a bone or a piece of dung."" So I 
brought the stones in the corner of my garment and placed them by his side and I then went away from 
him. When he finished (from answering the call of nature) he used, them .",4.0,,,,21,101550,2012-04-26 07:00:00
1590,bukhari,1,4,Ablutions (Wudu'),,,158,"<p>
Narrated `Abdullah:

<p>The Prophet went out to answer the call of nature and asked me to bring three stones. I found two 
stones and searched for the third but could not find it. So took a dried piece of dung and brought it to 
him. He took the two stones and threw away the dung and said, ""This is a filthy thing.""",4.0,,,,22,101560,2012-04-26 07:00:00
1600,bukhari,1,4,Ablutions (Wudu'),,,159,"<p>
Narrated Ibn `Abbas:

<p>The Prophet performed ablution by washing the body parts only once.",4.0,,,,23,101570,2012-04-26 07:00:00
1610,bukhari,1,4,Ablutions (Wudu'),,,160,"<p>
Narrated `Abdullah bin Zaid:

<p>The Prophet performed ablution by washing the body parts twice.",4.0,,,,24,101580,2012-04-26 07:00:00
1630,bukhari,1,4,Ablutions (Wudu'),,,162,"<p>
Narrated Abu Huraira:

<p>The Prophet said, ""Whoever performs ablution should clean his nose with water by putting the water 
in it and then blowing it out, and whoever cleans his private parts with stones should do it with odd 
number of stones.""",4.0,,,,27,101610,2012-04-26 07:00:00
1640,bukhari,1,4,Ablutions (Wudu'),,,163,"<p>
Narrated Abu Huraira:

<p>Allah's Apostle said, ""If anyone of you performs ablution he should put water in his nose and then 
blow it out and whoever cleans his private parts with stones should do so with odd numbers. And 
whoever wakes up from his sleep should wash his hands before putting them in the water for ablution, 
because nobody knows where his hands were during sleep.""",4.0,,,,28,101620,2012-04-26 07:00:00
1650,bukhari,1,4,Ablutions (Wudu'),,,164,"<p>
Narrated `Abdullah bin `Amr:

<p>The Prophet remained behind us on a journey. He joined us while we were performing ablution for the 
`Asr prayer which was overdue and we were just passing wet hands over our feet (not washing them 
thoroughly) so he addressed us in a loud voice saying twice , ""Save your heels from the fire.""",4.0,,,,29,101630,2012-04-26 07:00:00
1660,bukhari,1,4,Ablutions (Wudu'),,,165,"<p>
Narrated Humran:

<p>(the freed slave of `Uthman bin `Affan) I saw `Uthman bin `Affan asking (for a tumbler of water) to 
perform ablution (and when it was brought) he poured water from it over his hands and washed them 
thrice and then put his right hand in the water container and rinsed his mouth and washed his nose by 
putting water in it and then blowing it out. Then he washed his face thrice and (then) forearms up to 
the elbows thrice, then passed his wet hands over his head and then washed each foot thrice. After that 
`Uthman said, ""I saw the Prophet performing ablution like this of mine, and he said, 'If anyone 
performs ablution like that of mine and offers a two-rak`at prayer during which he does not think of 
anything else (not related to the present prayer) then his past sins will be forgiven. '",4.0,,,,30,101640,2012-04-26 07:00:00
1670,bukhari,1,4,Ablutions (Wudu'),,,166,"<p>
Narrated Muhammad Ibn Ziyad:

<p>I heard Abu Huraira saying as he passed by us while the people were performing ablution from a 
utensil containing water, ""Perform ablution perfectly and thoroughly for Abul-Qasim (the Prophet) 
said, 'Save your heels from the Hell-fire.' """,4.0,,,,31,101650,2012-04-26 07:00:00
1680,bukhari,1,4,Ablutions (Wudu'),,,167,"<p>
Narrated `Ubaid Ibn Juraij:

<p>I asked `Abdullah bin `Umar, ""O Abu `Abdur-Rahman! I saw you doing four things which I never 
saw being done by anyone of you companions?"" `Abdullah bin `Umar said, ""What are those, O Ibn 
Juraij?"" I said, ""I never saw you touching any corner of the Ka`ba except these (two) facing south 
(Yemen) and I saw you wearing shoes made of tanned leather and dyeing your hair with Hinna (a kind 
of red dye). I also noticed that whenever you were in Mecca, the people assume Ihram on seeing the 
new moon crescent (1st of Dhul-Hijja) while you did not assume the Ihlal (Ihram) -(Ihram is also 
called Ihlal which means 'Loud calling' because a Muhrim has to recite Talbiya aloud when assuming 
the state of Ihram) - till the 8th of Dhul-Hijja (Day of Tarwiya). `Abdullah replied, ""Regarding the 
corners of Ka`ba, I never saw Allah's Apostle touching except those facing south (Yemen) and 
regarding the tanned leather shoes, no doubt I saw Allah's Apostle wearing non-hairy shoes and he 
used to perform ablution while wearing the shoes (i.e. wash his feet and then put on the shoes). So I 
love to wear similar shoes. And about the dyeing of hair with Hinna; no doubt I saw Allah's Apostle 
dyeing his hair with it and that is why I like to dye (my hair with it). Regarding Ihlal, I did not see 
Allah's Apostle assuming Ihlal till he set out for Hajj (on the 8th of Dhul-Hijja).",4.0,,,,32,101660,2012-04-26 07:00:00
1690,bukhari,1,4,Ablutions (Wudu'),,,168,"<p>
Narrated Um-`Atiya:

<p>That the Prophet at the time of washing his deceased daughter had said to them, ""Start from the right 
side beginning with those parts which are washed in ablution.""",4.0,,,,33,101670,2012-04-26 07:00:00
1700,bukhari,1,4,Ablutions (Wudu'),,,169,"<p>
Narrated `Aisha:

<p>The Prophet used to like to start from the right side on wearing shoes, combing his hair and cleaning 
or washing himself and on doing anything else.",4.0,,,,34,101680,2012-04-26 07:00:00
1710,bukhari,1,4,Ablutions (Wudu'),,,170,"<p>
Narrated Anas bin Malik:

<p>saw Allah's Apostle when the `Asr prayer was due and the people searched for water to perform 
ablution but they could not find it. Later on (a pot full of) water for ablution was brought to Allah's 
Apostle . He put his hand in that pot and ordered the people to perform ablution from it. I saw the 
water springing out from underneath his fingers till all of them performed the ablution (it was one of 
the miracles of the Prophet).",4.0,,,,35,101690,2012-04-26 07:00:00
1720,bukhari,1,4,Ablutions (Wudu'),,,171,"<p>
Narrated Ibn Seereen:

<p>I said to `Abida, ""I have some of the hair of the Prophet which I got from Anas or from his family."" 
`Abida replied. ""No doubt if I had a single hair of that it would have been dearer to me than the whole 
world and whatever is in it.""",4.0,,,,36,101700,2012-04-26 07:00:00
1730,bukhari,1,4,Ablutions (Wudu'),,,172,"<p>
Narrated Anas:

<p>When Allah's Apostle got his head shaved, Abu- Talha was the first to take some of his hair.",4.0,,,,37,101710,2012-04-26 07:00:00
1740,bukhari,1,4,Ablutions (Wudu'),,,173,"<p>
Narrated Abu Huraira:

<p>Allah's Apostle said, ""If a dog drinks from the utensil of anyone of you it is essential to wash it seven 
times.""",4.0,,,,38,101720,2012-04-26 07:00:00
1760,bukhari,1,4,Ablutions (Wudu'),,,175,"<p>
Narrated `Adi bin Hatim:

<p>I asked the Prophet (about the hunting dogs) and he replied, ""If you let loose (with Allah's name) your 
tamed dog after a game and it hunts it, you may eat it, but if the dog eats of (that game) then do not eat 
it because the dog has hunted it for itself."" I further said, ""Sometimes I send my dog for hunting and 
find another dog with it. He said, ""Do not eat the game for you have mentioned Allah's name only on 
sending your dog and not the other dog.""",4.0,,,,41,101750,2012-04-26 07:00:00
1770,bukhari,1,4,Ablutions (Wudu'),,,176,"<p>
Narrated Abu Huraira:

<p>Allah's Apostle said, ""A person is considered in prayer as long as he is waiting for the prayer in the 
mosque as long as he does not do Hadath."" A non-Arab man asked, ""O Abu Huraira! What is 
Hadath?"" I replied, ""It is the passing of wind (from the anus) (that is one of the types of Hadath).",4.0,,,,42,101760,2012-04-26 07:00:00
1780,bukhari,1,4,Ablutions (Wudu'),,,177,"<p>
Narrated `Abbad bin Tamim:

<p>My uncle said: The Prophet said, ""One should not leave his prayer unless he hears sound or smells 
something.""",4.0,,,,43,101770,2014-12-08 15:38:13
1790,bukhari,1,4,Ablutions (Wudu'),,,178,"<p>
Narrated `Ali:

<p>I used to get emotional urethral discharges frequently and felt shy to ask Allah's Apostle about it. So I 
requested Al-Miqdad bin Al-Aswad to ask (the Prophet ) about it. Al-Miqdad asked him and he 
replied, ""One has to perform ablution (after it).""",4.0,,,,44,101780,2015-02-23 13:27:04
1800,bukhari,1,4,Ablutions (Wudu'),,,179,"<p>
Narrated Zaid bin Khalid:

<p>I asked `Uthman bin `Affan about a person who engaged in intercourse but did no discharge. `Uthman 
replied, ""He should perform ablution like the one for an ordinary prayer but he must wash his penis."" 
`Uthman added, ""I heard it from Allah's Apostle."" I asked `Ali Az-Zubair, Talha and Ubai bin Ka`b 
about it and they, too, gave the same reply. (This order was canceled later on and taking a bath 
became necessary for such cases).",4.0,,,,45,101790,2012-04-26 07:00:00
1810,bukhari,1,4,Ablutions (Wudu'),,,180,"<p>
Narrated Abu Sa`id Al-Khudri:

<p>Allah's Apostle sent for a Ansari man who came with water dropping from his head. The Prophet said, 
""Perhaps we have forced you to hurry up, haven't we?"" The Ansari replied, ""Yes."" Allah's Apostle 
further said, ""If you are forced to hurry up (during intercourse) or you do not discharge then ablution 
is due on you (This order was canceled later on, i.e. one has to take a bath).",4.0,,,,46,101800,2012-04-26 07:00:00
1820,bukhari,1,4,Ablutions (Wudu'),,,181,"<p>
Narrated Usama bin Zaid:

<p>""When Allah's Apostle departed from `Arafat, he turned towards a mountain pass where he answered 
the call of nature. (After he had finished) I poured water and he performed ablution and then I said to 
him, ""O Allah's Apostle! Will you offer the prayer?"" He replied, ""The Musalla (place of the prayer) is 
ahead of you (in Al-Muzdalifa).",4.0,,,,47,101810,2012-04-26 07:00:00
1830,bukhari,1,4,Ablutions (Wudu'),,,182,"<p>
Narrated Al-Mughira bin Shu`ba:

<p>I was in the company of Allah's Apostle on one of the journeys and he went out to answer the call of 
nature (and after he finished) I poured water and he performed ablution; he washed his face, forearms 
and passed his wet hand over his head and over the two Khuff (socks made from thick fabric or 
leather).",4.0,,,,48,101820,2012-04-26 07:00:00
